"Response","Description","Classification"
Z9,INSUFFICIENT FUNDS IN CUSTOMER (REMITTER) ACCOUNT,BD
ZC,ACQUIRER/BENEFICIARY UNAVAILABLE (Reserved for future purpose),TD
ZD,VALIDATION ERROR,BD
ZF,TRANSACTION NOT PERMITTED TO DEVICE,BD
ZI,"SUSPECTED FRAUD, DECLINE / TRANSACTIONS DECLINED BASED ON RISK SCORE BY
BENEFICIARY",BD
ZJ,"BENEFICIARY OR ACQUIRING SWITCH IS INOPERATIVE/NODE OFFLINE (Reserved for future
purpose)",TD
ZK,REMITTER SWITCH IS INOPERATIVE/NODE OFFLINE (Reserved for future purpose),TD
ZL,RECEIVED LATE RESPONSE (Reserved for future purpose),
ZM,INVALID MPIN,BD
ZN,FUNCTIONALITY NOT YET AVAILABLE FOR MERCHANT THROUGH THE ACQUIRING BANK,BD
ZO,FUNCTIONALITY NOT YET AVAILABLE FOR CUSTOMER THROUGH THE PAYEE PSP,BD
ZP,BANKS AS BENEFICIARY NOT LIVE ON PARTICULAR TXN TYPE,BD
ZQ,UNABLE TO PROCESS REVERSAL (Reserved for future purpose),BD
ZR,INVALID OTP,BD
ZS,OTP EXPIRED,BD
ZT,OTP TRANSACTION LIMIT EXCEEDED,BD
ZU,LIMIT EXCEEDED FOR REMITTING BANK/ISSUING BANK,BD
ZV,INCORRECT OTP (Reserved for future purpose),BD
ZX,INACTIVE OR DORMANT ACCOUNT (REMITTER),BD
ZY,INACTIVE OR DORMANT ACCOUNT (BENEFICIARY),BD
FL,FIRST TRANSACTION LIMIT EXCEEDED,BD
FP,FREEZE PERIOD FOR FIRST TIME USER,BD
QA,MANDATE IS PAUSED BY USER,BD
QB,MANDATE IS ALREADY HONOURED,BD
QC,MANDATE HAS BEEN REVOKED,BD
QD,MANDATE HAS EXPIRED,BD
QH,TXN AMOUNT DIFFERS FROM MANDATE AMOUNT,BD
QI,PAYEE VPA IS INCORRECT (PAYER),BD
QK,MANDATE REQUEST LIMIT HAS BREACHED,BD
QL,MANDATE DEBIT IS BEYOND PSP SPECIFIED AMOUNT CAP,BD
QR,"EXECUTION DAY AND EXECUTION RULE MISMATCH
(PAYER)",BD
QS,"PAYER PROFILE DOES NOT EXIST (DE REGISTRATION/VPA
REMOVED/UPDATED)",BD
QU,PAYER ACCOUNT HAS CHANGED (PAYER),BD
RA,PAYER AND PAYEE ACCOUNT SHOULD NOT BE EQUAL,TD
S0,SPAM COLLECT DECLINED BY PSP,BD
S1,PAYEE IS REPORTED AS SPAM UNDER RULE 1,BD
S2,PAYEE IS REPORTED AS SPAM UNDER RULE 2,BD
S3,PAYEE IS REPORTED AS SPAM UNDER RULE 3,BD
SA,TRANSACTION NOT PERMITTED FOR THIS A/C TYPE (OD),BD
TM,COLLECT REQUEST IS DECLINED AS REQUESTOR IS BLOCKED BY CUSTOMER,BD
UX,EXPIRED VIRTUAL ADDRESS,BD
VX,"MANDATE DECLINED AS PAYEE IS NON MERCHANT
(PAYEE)",BD
X1,RESPONSE NOT RECEIVED WITHIN TAT AS SET BY PAYEE,BD
YG,MERCHANT ERROR (PAYEE PSP),BD
ZA,TRANSACTION DECLINED BY CUSTOMER,BD
ZB,INVALID MERCHANT (PAYEE PSP),BD
ZE,TRANSACTION NOT PERMITTED TO VPA by the PSP,BD
ZG,VPA RESTRICTED BY CUSTOMER,BD
ZH,INVALID VIRTUAL ADDRESS,BD
AJ,CARD IS NOT ACTIVE,BD
AM,MPIN NOT SET BY CUSTOMER,BD
B2,ACCOUNT LINKED WITH MULTIPLE NAMES,BD
B3,TRANSACTION NOT PERMITTED TO THE ACCOUNT,BD
B7,BANK CARD MANAGEMENT SYSTEM IS DOWN,TD
BR,"MOBILE NUMBER REGISTERED WITH MULTIPLE
CUSTOMER IDS",BD
HS,BANKS HSM IS DOWN,TD
IR,UNABLE TO PROCESS DUE TO INTERNAL EXCEPTION AT SERVER/CBS/ETC ON REMITTER SIDE,TD
LC,"UNABLE TO PROCESS CREDIT FROM BANK’S
POOL/BGL ACCOUNT",BD
LD,"UNABLE TO PROCESS DEBIT IN BANK’S POOL/BGL
ACCOUNT",BD
RM,INVALID MPIN ( VIOLATION OF POLICIES WHILE SETTING/CHANGING MPIN ),BD
RN,"REGISTRATION IS TEMPORARY BLOCKED
DUE TO MAXIMUM NO OF ATTEMPTS EXCEEDED",BD
RZ,"ACCOUNT IS ALREADY REGISTERED WITH MBEBA
FLAG AS 'Y'",BD
SP,INVALID/INCORRECT ATM PIN,BD
VN,VAE DOES NOT EXIST,BD
XH,ACCOUNT DOES NOT EXIST,BD
XL,EXPIRED CARD DETAILS,BD
XN,NO CARD RECORD FOUND,BD
XR,RESTRICTED CARD,BD
Z6,NO OF PIN TRIES EXCEEDED,BD
ZM,INVALID / INCORRECT MPIN,BD
ZR,INVALID / INCORRECT OTP,BD
ZS,OTP TIME EXPIRED,BD
ZT,NUMBER OF OTP’S TRIES HAS BEEN EXCEEDED,BD
SD,Service disable on UPI/ Customer is not active,BD
CN,Country/ Currency not supported,BD
IV,Invalid verification token,BD
PE,Payment validity expired,TD
RD,Request Decline by the bank,BD
IN,International Service not activated/disabled,BD
102 ;103,Debit Reversal Confirmation,NA
104,Debit Reversal Confirmation – Original transaction not debited,
105,Debit Reversal Confirmation Timeout,TD
NO,Remitter Original transaction not found,
UT1;UT2;UT3;UT4;UT5;UT6,Debit Reversal Confirmation Unable to Update,TD
102;103,Transaction Credit Confirmation,NA
114;115;116;117;118;119;120,Beneficiary Initiates Return,NA
UT1;UT2;UT3;UT4;UT5;UT6,Beneficiary Unable to Update,TD
NO,Beneficiary Original transaction not found,
TB,Beneficiary Timeout,TD
501-RRC Success,Return Reversal Confirmation,NA
502-RRC Timeout,Return Reversal Confirmation Timeout,TD
UT1;UT2;UT3;UT4;UT5;UT6,Return Reversal Confirmation Unable to Update,TD
105,Response to Complaint,NA
UT1;UT2;UT3;UT4;UT5;UT6,Response to Complaint as Unable to Update,TD
106,Response to Complaint as Refund will be initiated,NA
TP,Payee Timeout,TD
UTO,URCS Timeout,TD
UT1,Account Closed,BD
UT2,Party Instructions,BD
UT3,Credit Freeze,BD
UT4,Duplicate Processing,BD
UT5,Technical Error,TD
UT6,Account Closed,BD
UT7,Others,TD
UU1,Remitter version not supported,BD
UU2,Beneficiary version not supported,TD
UU3,Remitter/beneficiary not supported,TD
UU4,Payee not supported,TD
21,NO ACTION TAKEN (FULL REVERSAL),TD
32,PARTIAL REVERSAL,TD
BT,ACQUIRER/BENEFICIARY UNAVAILABLE(TIMEOUT),TD
RB,CREDIT REVERSAL TIMEOUT(REVERSAL),TD
RP,PARTIAL DEBIT REVERSAL TIMEOUT,TD
RR,DEBIT REVERSAL TIMEOUT(REVERSAL),TD
UT,REMITTER/ISSUER UNAVAILABLE (TIMEOUT),TD
H02,VER NUMERIC/DECIMAL MIN LENGTH 1 MAX LENGTH 6,TD
H03,TS MUST BE ISO_ZONE FORMAT,TD
H06,MSGID MUST BE PRESENT MAXLENGTH 35,TD
U17,PSP IS NOT REGISTERED,BD
U52,PSP ORGID NOT FOUND,TD
HM1,META.TAG.NAME MUST BE PRESENT/VALID,TD
HM2,META.TAG.VALUE MUST BE ISO_ZONE FORMAT,TD
T01,TXN NOT PRESENT,TD
T02,TXN.ID MUST BE PRESENT MAXLENGTH 35,TD
T03,TXN.NOTE ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 50,TD
T04,TXN.REFID ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 35,TD
T05,TXN REFURL IS URL; MINLENGTH 1 MAXLENGTH 35,TD
T06,TXN.TS MUST BE ISO_ZONE FORMAT,TD
T07,TXN.TYPE MUST BE PRESENT/VALID,TD
T08,"TXN.ORGTNXID MUST BE PRESENT ALPHANUMERIC;
MINLENGTH 1 MAXLENGTH 35",TD
T09,TXN.ORGTNXID IS ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 35,TD
T10,"TXN.ORGTNXID IS NOT APPLICABLE FOR THIS TYPE OF
TRANSACTION",TD
T11,"TXN.ORGRESPCD MUST BE PRESENT ALPHANUMERIC;
MINLENGTH 1 MAXLENGTH 3",TD
T12,TXN.CUSTREF MUST BE PRESENT; LENGTH 12,TD
T13,TXN.SUBTYPE MUST BE PRESENT,TD
T14,PURPOSE SHOULD BE PRESENT VALID VALUE(00-14 and 18),TD
T15,TXN.PURPOSE SHOULD BE 00 WHEN INITIATIONMODE 12,TD
IM0,INITIATIONMODE SHOULD BE PRESENT AND VALUE(00-24),TD
IM1,INITIATIONMODE=12 (FIR) NOT VALID FOR COLLECT,TD
IM2,"INITIATIONMODE=12 (FIR) NON-PREAPPROVED TRANSACTION IS
NOT ALLOWED",BD
IM3,"CRED BLOCK SHOULD BE UPIMANDATE OR PREAPPROVED IF
INITIATIONMODE=11",TD
IM4,UPI 2.0 IS ALLOWING FIR ONLY,TD
IM5,PAYEE PSP DOES NOT SUPPORT VERSION 2.0,BD
IM6,BANK/PSP IS NOT SUPPORTING VERSION 2.0,BD
S01,TXN RISKSCORE PROVIDER MUST BE PRESENT ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 20,TD
S02,"TXN RISKSCORE TYPE MUST BE PRESENT
ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 20",TD
S03,"TXN RISKSCORE VALUE MUST BE PRESENT
NUMERIC; MINLENGTH 1 MAXLENGTH 5",TD
L01,RULE MUST BE PRESENT WITHIN RULES,TD
L02,"RULE ATTRIBUTE NAME MUST BE PRESENT; ALPHANUMERIC;
MINLENGTH 1 MAXLENGTH 20",TD
L03,VALUE MUST BE PRESENT; NUMERIC/DECIMAL,TD
L04,RULE ATTRIBUTE VALUE MUST BE PRESENT; NUMERIC; MINLENGTH 1 MAXLENGTH 255,TD
R01,PAYER NOT PRESENT,TD
R02,PAYER.ADDR MUST BE VALID VPA MAXLENGTH 255,TD
R03,PAYER.NAME ALPHANUMERIC MINLENGTH 1 MAXLENGTH 99,TD
R04,PAYER.SEQNUM NUMERIC MINLENGTH 1 MAXLENGTH 3,TD
R05,PAYER.TYPE MUST BE PRESENT/VALID,TD
R06,PAYER.CODE NUMERIC OF LENGTH 4,TD
B01,PAYEES NOT PRESENT,TD
B02,PAYEE NOT PRESENT,TD
B03,PAYEE.ADDR MUST BE VALID VPA MAXLENGTH 255,TD
B04,PAYEE.SEQNUM NUMERIC MINLENGTH 1 MAXLENGTH 3,TD
B05,PAYEE.NAME ALPHANUMERIC MINLENGTH 1 MAXLENGTH 99,TD
B06,PAYEE.TYPE MUST BE PRESENT/VALID,TD
B07,PAYEE.CODE NUMERIC OF LENGTH 4,TD
B08,PAYER</PAYEE> ADDRESS CANNOT BE CHANGED,TD
I01,PAYER/PAYEE.INFO MUST BE PRESENT,TD
I02,PAYER/PAYEE .INFO.IDENTITY MUST BE PRESENT,TD
I03,"PAYER/PAYEE.INFO.IDENTITY.TYPE MUST BE PRESENT
MINLENGTH 1 MAXLENGTH 20",TD
I04,"PAYER/PAYEE .INFO.IDENTITY VERIFIEDNAME MUST BE PRESENT
ALPHANUMERIC MINLENGTH 1 MAXLENGTH 99",TD
I05,"PAYER/PAYEE .INFO.RATING WHITELISTED
MUST BE PRESENT MINLENGTH 1 MAXLENGTH 5",TD
D01,PAYER/PAYEE.DEVICE MUST BE PRESENT,TD
D02,PAYER/PAYEE. DEVICE.TAGS MUST BE PRESENT,TD
D03,PAYER/PAYEE.TAG.DEVICE.NAME/VALUE MUST BE PRESENT,TD
D04 - D11,SAME VALIDATION MESSAGE BASED ON DEVICE TYPE,TD
D12,TELECOM VALUE MUST BE MINLENGTH 1 MAXLENGTH 99,TD
D13,TELECOM TAG IS ALLOWED ONLY FOR TYPE=USDC/USDB,TD
A01,PAYER/PAYEE.AC MUST BE PRESENT,TD
A02,PAYER/PAYEE .AC.ADDRTYPE MUST BE PRESENT,TD
A03,PAYER/PAYEE .AC.DETAIL MUST BE PRESENT,TD
A04,PAYER/PAYEE .AC.NAME MUST BE PRESENT,TD
A05,"PAYER/PAYEE .AC.DETAIL.AADHAR MUST BE PRESENT OR NOT
VALID",TD
A06,"PAYER/PAYEE .AC.DETAIL.ACCOUNT MUST BE PRESENT OR NOT
VALID",TD
A07,PAYER/PAYEE .AC.DETAIL.MOBILE MUST BE PRESENT OR NOT VALID,TD
A08,PAYER/PAYEE .AC.DETAIL.CARD MUST BE PRESENT OR NOT VALID,TD
A09,PAYER/PAYEE .AC.DETAIL.VALUE INCORRECT FORMAT <NAME>,TD
C01,PAYER/PAYEE .CREDS NOT PRESENT,TD
C02,PAYER/PAYEE .CREDS.CRED MUST BE PRESENT,TD
C03,PAYER/PAYEE.CRED DATA IS WRONG,TD
C04,PAYER/PAYEE .CRED.AADHAR MUST BE PRESENT,TD
C05,PAYER/PAYEE .CRED.OTP MUST BE PRESENT,TD
C06,PAYER/PAYEE .CRED.PIN MUST BE PRESENT,TD
C07,PAYER/PAYEE .CRED.CARD MUST BE PRESENT,TD
C08,PAYER/PAYEE .CRED.PREAPPROVED MUST BE PRESENT,TD
C09,PAYER/PAYEE .CRED.DATA MUST BE PRESENT,TD
C10,"PAYER/PAYEE . .CRED.DATA ENCRYPTED AUTHENTICATION MUST
BE PRESENT",TD
V01,PAYER/PAYEE. AMOUNT MUST BE PRESENT,TD
V02,PAYER/PAYEE .AMOUNT.CUR MUST BE PRESENT,TD
V03,PAYER/PAYEE.AMOUNT.VALUE MUST BE WITHIN 18 DIGITS INCLUDING TWO DECIMAL,TD
V04,PAYER/PAYEE .AMOUNT.SPLIT.NAME MUST BE PRESENT,TD
V05,PAYER/PAYEE .AMOUNT.SPLIT.VALUE MUST BE PRESENT MINLENGTH 1 MAXLENGTH 18,TD
V06,PAYEE AMOUNT CANNOT BE CHANGED,TD
M01,PAYEE.AMOUNT.CUR MUST BE CONSISTENT,TD
M02,PAYEE.AMOUNT.CUR IS INVALID,TD
M03,PAYER & PAYEE TOTAL AMOUNT NOT MATCHING,TD
M04,ONE OR MORE PAYEE AMOUNT IS MISSING,TD
M05,PAYER AND PAYEE TOTAL AMOUNT NOT MATCHING,TD
M06,MORE THAN ONE PAYEE AMOUNT IS MISSING,TD
M07,"PAYER AMOUNT SHOULD BE GREATER THAN TOTAL PAYEE
AMOUNT",TD
UP1,NOT A VALID AMOUNT FOR THIS CATEGORY,BD
PM0,MERCHANT TAG IS MANDATORY IF PAYER/PAYEE IS ENTITY,TD
PM1,"PAYER/PAYEE.MERCHANT.IDENTIFIER.SUBCODE MUST BE NUMERIC
AND OF LENGTH 4",TD
PM2,"PAYER/PAYEE.MERCHANT.IDENTIFIER.MID MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM3,"PAYER/PAYEE.MERCHANT.IDENTIFIER.SID MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM4,"PAYER/PAYEE.MERCHANT.IDENTIFIER.TID MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM5,"PAYER/PAYEE.MERCHANT.NAME.BRAND MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM6,"PAYER/PAYEE.MERCHANT.NAME.LEGAL MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM7,"PAYER/PAYEE.MERCHANT.NAME.FRANCHISE MUST BE OF
MINLENGTH 1 MAXLENGTH 20",TD
PM8,PAYER/PAYEE.MERCHANT.OWNERSHIP MUST BE PRESENT,TD
PM9,PAYER/PAYEE.MERCHANT.OWNERSHIP.TYPE MUST BE PRESENT,TD
PM16,ALREADY PROCESSED TRANSACTION,TD
PN0,"MERCHANT TAG SHOULD NOT BE PRESENT IF PAYER/PAYEE IS
PERSON",TD
PN1,"PAYER/PAYEE.MERCHANT.IDENTIFIER.MERCHANTTYPE MUST BE
VALID",TD
PI0,"INSTITUTION TAG SHOULD BE PRESENT IF INITIATIONMODE=12
(FIR)",TD
PI1,PAYER.INSTITUTION.TYPE MUST BE PRESENT AMONG MTO|BANK,TD
PI2,PAYER.INSTITUTION.ROUTE MUST BE PRESENT AMONG MTSS|RDA,TD
PI3,PAYER.INSTITUTION.NAME MUST BE PRESENT,TD
PI4,"PAYER.INSTITUTION.NAME.VALUE MUST BE PRESENT,MINLENGTH
1 MAXLENGTH 100",TD
PI5,"PAYER.INSTITUTION.NAME.ACNUM MUST BE PRESENT,MINLENGTH
1 MAXLENGTH 50",TD
PI6,PAYER.INSTITUTION.PURPOSE MUST BE PRESENT,TD
PI7,"PAYER.INSTITUTION.PURPOSE.CODE MUST BE PRESENT,MINLENGTH 1 MAXLENGTH 50",TD
PI8,PAYER.INSTITUTION.ORIGINATOR MUST BE PRESENT,TD
PI9,"PAYER.INSTITUTION.ORIGINATOR.NAME MUST BE
PRESENT,MINLENGTH 1 MAXLENGTH 50",TD
PJ1,"PAYER.INSTITUTION.ORIGINATOR.REFNO MUST BE
PRESENT,MINLENGTH 1 MAXLENGTH 35",TD
PJ2,PAYER.INSTITUTION.ORIGINATOR.ADDRESS MUST BE PRESENT,TD
PJ3,"PAYER.INSTITUTION.ORIGINATOR.ADDRESS.LOCATION MUST BE PRESENT,MINLENGTH 1 MAXLENGTH 40",TD
PJ4,PAYER.INSTITUTION.BENEFICIARY MUST BE PRESENT,TD
PJ5,"PAYER.INSTITUTION.BENEFICIARY.NAME MUST BE PRESENT,MINLENGTH 1 MAXLENGTH 50",TD
PJ6,"PAYER.INSTITUTION.ORIGINATOR.TYPE MUST BE PRESENT,
INDIVIDUAL|COMPANY",TD
PJ7,"PAYER.INSTITUTION.ORIGINATOR.ADDRESS.CITY MUST BE
PRESENT,MINLENGTH 1 MAXLENGTH 100",TD
PJ8,"PAYER.INSTITUTION.ORIGINATOR.ADDRESS.COUNTRY MUST BE PRESENT,MINLENGTH 1 MAXLENGTH 100",TD
PJ9,"PAYER.INSTITUTION.ORIGINATOR.ADDRESS.GEOCODE MUST BE
PRESENT, IN nn.nnnn,nn.nnnn FORMAT",TD
PJ0,"PAYER.INSTITUTION.PURPOSE.NOTE MUST BE
PRESENT,MINLENGTH 1 MAXLENGTH 50",TD
PK0,"INSTITUTION TAG SHOULD NOT BE PRESENT IF INITIATIONMODE
OTHER THAN 12",TD
H02,VER NUMERIC/DECIMAL MIN LENGTH 1 MAX LENGTH 6,TD
H03,TS MUST BE ISO_ZONE FORMAT,TD
H06,MSGID MUST BE PRESENT MAXLENGTH 35,TD
U17,PSP IS NOT REGISTERED,BD
U52,PSP ORGID NOT FOUND,TD
E01,<RESP> MUST BE PRESENT,TD
E02,RESP.MSGID MUST BE PRESENT MAXLENGTH 35,TD
E03,"RESP.RESULT MUST BE PRESENT ALPHANUMERIC
,"MIN LENGTH 1 MAX LENGTH 20",TD
E04,RESP.ERRORCODE MUST BE PRESENT,TD
E05,RESP.ERRORCODE SHOULD NOT BE PRESENT,TD
T01,TXN NOT PRESENT,TD
T02,TXN.ID MUST BE PRESENT MAXLENGTH 35,TD
T03,TXN.NOTE ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 50,TD
T04,TXN.REFID ALPHANUMERIC; MINLENGTH 1 MAXLENGTH 35,TD
T06,TXN.TS MUST BE ISO_ZONE FORMAT,TD
T07,TXN.TYPE MUST BE PRESENT/VALID,TD
T12,TXN.CUSTREF MUST BE PRESENT; LENGTH 12,TD
T13,TXN.SUBTYPE MUST BE PRESENT,TD
T14,TXN.PURPOSE MUST BE PRESENT/VALID,TD
T17,TXN.TYPE DIFFERS FROM ORIGINAL REQUEST,TD
IM3,"CRED BLOCK SHOULD BE UPIMANDATE OR PREAPPROVED IF
INITIATIONMODE=11",TD
TR1,"TXN RISKSCORE PROVIDER MUST BE PRESENT ALPHANUMERIC;
MINLENGTH 1 MAXLENGTH 20",TD
TR2,"TXN RISKSCORE TYPE MUST BE PRESENT ALPHANUMERIC;
MINLENGTH 1 MAXLENGTH 20",TD
TR3,"TXN RISKSCORE VALUE MUST BE PRESENT NUMERIC; MINLENGTH 1
MAXLENGTH 5",TD
R01,PAYER NOT PRESENT,TD
R02,PAYER.ADDR MUST BE VALID VPA MAXLENGTH 255,TD
R03,PAYER.NAME ALPHANUMERIC MINLEGTH 1 MAXLENGTH 99,TD
R04,PAYER.SEQNUM NUMERIC MINLEGTH 1 MAXLENGTH 3,TD
R05,PAYER.TYPE MUST BE PRESENT/VALID,TD
R06,PAYER.CODE NUMERIC OF LENGTH 4,TD
T20,PAYER.INSTITUTION SHOULD NOT BE PRESENT,TD
B01,PAYEES NOT PRESENT,TD
B02,PAYEE NOT PRESENT,TD
B03,PAYEE.ADDR MUST BE VALID VPA MAXLENGTH 255,TD
B04,PAYEE.SEQNUM NUMERIC MINLEGTH 1 MAXLENGTH 3,TD
B05,PAYEE.NAME ALPHANUMERIC MINLEGTH 1 MAXLENGTH 99,TD
B06,PAYEE.TYPE MUST BE PRESENT/VALID,TD
B07,PAYEE.CODE NUMERIC OF LENGTH 4,TD
B09,MULTIPLE PAYEES NOT ALLOWED,BD
I01,PAYER/PAYEE.INFO MUST BE PRESENT,TD
I02,PAYER/PAYEE .INFO.IDENTITY MUST BE PRESENT,TD
I03,"PAYER/PAYEE.INFO.IDENTITY.TYPE MUST BE PRESENT
MINLEGTH 1 MAXLENGTH 20",TD
I04,PAYER/PAYEE .INFO.IDENTITY VERIFIEDNAME MUST BE PRESENT ALPHANUMERIC MINLEGTH 1 MAXLENGTH 99,TD
